origin,destination,count
1,0,1
0,2,1
3,0,1
4,0,1
1,2,1
1,3,1
4,1,1
3,2,1
4,2,1
4,3,1
6,5,1
8,7,1
10,9,1
9,11,1
12,9,1
10,11,1
12,10,1
12,11,1
14,13,1
15,13,1
16,13,1
14,15,1
14,16,1
16,15,1
18,17,1
17,19,1
17,20,1
21,17,1
17,22,1
17,23,1
17,24,1
17,25,1
17,26,1
17,27,1
17,28,1
18,19,1
18,20,1
21,18,1
18,22,1
18,23,1
18,24,1
18,25,1
18,26,1
18,27,1
18,28,1
19,20,1
21,19,1
22,19,1
19,23,1
24,19,1
19,25,1
19,26,1
27,19,1
28,19,1
21,20,1
22,20,1
23,20,1
24,20,1
25,20,1
26,20,1
27,20,1
28,20,1
21,22,1
21,23,1
21,24,1
21,25,1
21,26,1
21,27,1
21,28,1
22,23,1
22,24,1
22,25,1
22,26,1
22,27,1
22,28,1
24,23,1
23,25,1
23,26,1
27,23,1
28,23,1
24,25,1
24,26,1
27,24,1
28,24,1
26,25,1
27,25,1
28,25,1
27,26,1
28,26,1
28,27,1
29,30,1
29,31,1
30,31,1
34,35,1
34,36,1
37,34,1
36,35,1
37,35,1
37,36,1
39,40,1
39,41,1
39,42,1
39,43,1
41,40,1
42,40,1
43,40,1
41,42,1
41,43,1
43,42,1
44,45,1
44,46,1
44,47,1
44,48,1
44,49,1
44,50,1
44,51,1
44,52,1
45,46,1
45,47,1
45,48,1
45,49,1
50,45,1
51,45,1
45,52,1
46,47,1
46,48,1
49,46,1
50,46,1
51,46,1
52,46,1
47,48,1
49,47,1
50,47,1
51,47,1
52,47,1
49,48,1
50,48,1
51,48,1
52,48,1
50,49,1
51,49,1
52,49,1
50,51,1
50,52,1
51,52,1
54,55,2
54,56,2
54,57,2
58,54,2
54,59,1
54,60,2
61,54,2
62,54,2
63,54,1
54,64,2
55,56,2
55,57,2
58,55,2
59,55,1
60,55,2
61,55,2
62,55,2
63,55,1
64,55,2
57,56,2
58,56,2
59,56,1
60,56,2
61,56,2
62,56,2
63,56,1
64,56,2
58,57,2
59,57,1
60,57,2
61,57,2
62,57,2
63,57,1
64,57,2
58,59,1
58,60,2
58,61,2
58,62,2
58,63,1
58,64,2
60,59,1
61,59,1
62,59,1
63,59,1
64,59,1
61,60,2
62,60,2
63,60,1
64,60,2
62,61,2
63,61,1
61,64,2
63,62,1
62,64,2
63,64,1
67,66,1
66,68,1
66,69,1
67,68,1
67,69,1
69,68,1
70,71,1
72,70,1
70,73,1
72,71,1
73,71,1
72,73,1
75,74,1
76,77,1
76,78,1
76,79,1
76,80,1
78,77,1
79,77,1
80,77,1
79,78,1
80,78,1
80,79,1
82,81,1
83,81,1
84,81,1
85,81,1
86,81,1
87,81,1
88,81,1
89,81,1
90,81,1
91,81,1
83,82,1
84,82,1
85,82,1
82,86,1
87,82,1
82,88,1
89,82,1
90,82,1
91,82,1
84,83,1
85,83,1
83,86,1
87,83,1
83,88,1
89,83,1
90,83,1
91,83,1
85,84,1
84,86,1
