name,group,city,state,iata,latitude,longitude
Michael P. Etgen,10510103,Cary,North Carolina,0,35.7913889,-78.7813889
Darrell O. Bleakley,10510103,Raleigh,North Carolina,1,35.7719444,-78.6388889
Stephen J. Kenna,10510103,Cary,North Carolina,2,35.7913889,-78.7813889
Louis M. Demmler,10510103,Pittsburgh,Pennsylvania,3,40.4405556,-79.9961111
Aditya A. Desai,10510103,Morrisville,North Carolina,4,35.8233333,-78.8258333
Lajos Zoltan Deak,10510105,Sunnyvale,California,5,37.3688889,-122.0352778
Csaba Kecskemeti,10510105,San Jose,California,6,37.3394444,-121.8938889
Lee Charles Linden,10510106,San Francisco,California,7,37.775,-122.4183333
Benjamin Lewis,10510106,San Francisco,California,8,37.775,-122.4183333
Jesse F. Lee,10510107,Dublin,California,9,37.7022222,-121.9347222
Jennifer A. Fisher,10510107,Chesterfield,Missouri,10,38.6630556,-90.5769444
Lynne Kenny,10510107,Walnut Creek,California,11,37.9063889,-122.0638889
Carola Neumann,10510107,San Francisco,California,12,37.775,-122.4183333
Norihiro Edwin Aoki,10510108,San Jose,California,13,37.3394444,-121.8938889
Aarti Bharathan,10510108,San Jose,California,14,37.3394444,-121.8938889
Arjun Abraham Mathew,10510108,San Jose,California,15,37.3394444,-121.8938889
Anthony Shakrala Allen,10510108,San Jose,California,16,37.3394444,-121.8938889
David William Bettis,10510109,Seattle,Washington,17,47.6063889,-122.3308333
Benjamin Ralph Hollis,10510109,Seattle,Washington,18,47.6063889,-122.3308333
Korwin J. Smith,10510109,Seattle,Washington,19,47.6063889,-122.3308333
Sridhar Boyapati,10510109,Sammamish,Washington,20,47.6419444,-122.0791667
Alexander Michael McNamara,10510109,Seattle,Washington,21,47.6063889,-122.3308333
Félix Joseph Étienne Pageau,10510109,Seattle,Washington,22,47.6063889,-122.3308333
Lu Ye,10510109,Seattle,Washington,23,47.6063889,-122.3308333
Kirk Arlo Petersen,10510109,Seattle,Washington,24,47.6063889,-122.3308333
Nathan Lee Wesling,10510109,Seattle,Washington,25,47.6063889,-122.3308333
Natalie Nguyen,10510109,Bellevue,Washington,26,47.6105556,-122.1994444
Kevin Alexander Lee,10510109,Seattle,Washington,27,47.6063889,-122.3308333
Jack Bradley Jones,10510109,Seattle,Washington,28,47.6063889,-122.3308333
Aravind Kalaiah,10510111,San Jose,California,29,37.3394444,-121.8938889
David Eraker,10510111,Seattle,Washington,30,47.6063889,-122.3308333
Robert McGarty,10510111,Seattle,Washington,31,47.6063889,-122.3308333
Jeffrey Brian Gray,10510112,West Palm Beach,Florida,32,26.715,-80.0536111
John Ryan Caldwell,10510113,Provo,Utah,33,40.2338889,-111.6577778
Kai Neumann,10510114,Paris,,34,,
Samuel Gaer,10510114,New York,New York,35,40.7141667,-74.0063889
Matt Morano,10510114,Tenafly,New Jersey,36,40.9252778,-73.9633333
Ian Wall,10510114,New York,New York,37,40.7141667,-74.0063889
Michael B. Rohlfs,10510115,Northbrook,Illinois,38,42.1275,-87.8288889
Gary W. Grube,10510116,Barrington,Illinois,39,42.1538889,-88.1361111
Timothy W. Markison,10510116,Mesa,Arizona,40,33.4222222,-111.8219444
John Moran,10510116,Winfield,Illinois,41,41.8616667,-88.1608333
Thomas W. Becker,10510116,Hickory Hills,Illinois,42,41.7255556,-87.825
Mike Barrett,10510116,Buffalo Grove,Illinois,43,42.1513889,-87.9597222
Andrew Joseph Stafford,10510117,Holden,Missouri,44,38.7141667,-93.9911111
Justin Ryan Romo,10510117,Clayton,Missouri,45,38.6425,-90.3236111
"Oscar Javier Pineda-Madrid, II",10510117,Holden,Missouri,46,38.7141667,-93.9911111
Scott Michael Welzbacher,10510117,Chesterfield,Missouri,47,38.6630556,-90.5769444
Virgil Michael Scott,10510117,Lake Saint Louis,Missouri,48,38.7975,-90.7855556
Murat Sanli,10510117,Kirkwood,Missouri,49,38.5833333,-90.4066667
